name,kana
Ark Royal,アークロイヤル
Iowa,アイオワ
青葉,あおば
赤城,あかぎ
明石,あかし
暁,あかつき
阿賀野,あがの
秋雲,あきぐも
秋霜,あきしも
秋月,あきづき
秋津洲,あきつしま
あきつ丸,あきつまる
Aquila,アクィラ
曙,あけぼの
朝風,あさかぜ
朝雲,あさぐも
朝潮,あさしお
朝霜,あさしも
足柄,あしがら
愛宕,あたご
Atlanta,アトランタ
阿武隈,あぶくま
天城,あまぎ
天霧,あまぎり
天津風,あまつかぜ
綾波,あやなみ
嵐,あらし
荒潮,あらしお
霰,あられ
有明,ありあけ
雷,いかずち
伊58,いごじゅうはち
伊504,いごひゃくよん
石垣,いしがき
伊19,いじゅうきゅう
伊13,いじゅうさん
伊14,いじゅうよん
五十鈴,いすず
伊勢,いせ
磯風,いそかぜ
磯波,いそなみ
Italia,イタリア
電,いなづま
伊26,いにじゅうろく
伊201,いにひゃくいち
伊203,いにひゃくさん    
伊8,いはち
伊168,いひゃくろくじゅうはち
伊47,いよんじゅうなな
伊400,いよんひゃく
伊401,いよんひゃくいち
伊良湖,いらこ
Intrepid,イントレピッド
Victorious,ヴィクトリアス
Верный,ヴェールヌイ
Warspite,ウォースパイト
薄雲,うすぐも
卯月,うづき
海風,うみかぜ
梅,うめ
浦風,うらかぜ
浦波,うらなみ
雲鷹,うんよう
雲龍,うんりゅう
択捉,えとろふ
大井,おおい
大潮,おおしお
大淀,おおよど
沖波,おきなみ
Октябрьская революция,オクチャブリスカヤレヴォリューツィヤ
朧,おぼろ
親潮,おやしお
加賀,かが
陽炎,かげろう
加古,かこ
風雲,かざぐも
鹿島,かしま
春日丸,かすがまる
霞,かすみ
葛城,かつらぎ
香取,かとり
Conte di Cavour,カブール
神風,かみかぜ
神威,かもい
江風,かわかぜ
Гангут,ガングート
Gambier Bay,ガンビアベイ
菊月,きくづき
如月,きさらぎ
岸波,きしなみ
木曾,きそ
北上,きたかみ
鬼怒,きぬ
衣笠,きぬがさ
清霜,きよしも
霧島,きりしま
国後,くなしり
球磨,くま
熊野,くまの
Graf Zeppelin,グラーフツェッペリン
倉橋,くらはし
Grecale,グレカーレ
黒潮,くろしお
Gotland,ゴトランド
Commandant Teste,コマンダンテスト
Colorado,コロラド
金剛,こんごう
South Dakota,サウスダコタ
酒匂,さかわ
狭霧,さぎり
漣,さざなみ
皐月,さつき
さつき1号,さつきいちごう
佐渡,さど
五月雨,さみだれ
Samuel B.Roberts,サミュエルビーロバーツ
Zara,ザラ
Saratoga,サラトガ
Janus,ジェーナス
Sheffield,シェフィールド
敷波,しきなみ
時雨,しぐれ
島風,しまかぜ
占守,しむしゅ
Jervis,ジャーヴィス
G.Garibaldi,ジュゼッペガリバルディ
隼鷹,じゅんよう
翔鶴,しょうかく
昭南,しょうなん
祥鳳,しょうほう
Johnston,ジョンストン
白露,しらつゆ
不知火,しらぬい
白雪,しらゆき
Scirocco,シロッコ
迅鯨,じんげい
神州丸,しんしゅうまる
神通,じんつう
神鷹,しんよう
瑞鶴,ずいかく
瑞鳳,ずいほう
Scamp,スキャンプ
涼風,すずかぜ
涼月,すずつき
涼波,すずなみ
鈴谷,すずや
川内,せんだい
蒼龍,そうりゅう
宗谷,そうや
大鯨,たいげい
大東,だいとう
大鳳,たいほう
大鷹,たいよう
第三〇号海防艦,だいさんじゅうごう
第四号海防艦,だいよんごう
高雄,たかお
高波,たかなみ
竹,たけ
Ташкент,タシュケント
龍田,たつた
谷風,たにかぜ
多摩,たま
玉波,たまなみ
丹陽,タンヤン
筑摩,ちくま
千歳,ちとせ
鳥海,ちょうかい
長鯨,ちょうげい
千代田,ちよだ
対馬,つしま
照月,てるづき
De Ruyter,デロイテル
天龍,てんりゅう
時津風,ときつかぜ
利根,とね
那珂,なか
長月,ながつき
長門,ながと
長波,ながなみ
長良,ながら
那智,なち
名取,なとり
日進,にっしん
子日,ねのひ
Nelson,ネルソン
Northampton,ノーザンプトン
能代,のしろ
野分,のわき
Perth,パース
萩風,はぎかぜ
羽黒,はぐろ
旗風,はたかぜ
八丈,はちじょう
初風,はつかぜ
初霜,はつしも
初月,はつづき
初春,はつはる
初雪,はつゆき
浜風,はまかぜ
浜波,はまなみ
早潮,はやしお
早霜,はやしも
速吸,はやすい
早波,はやなみ
春風,はるかぜ
春雨,はるさめ
榛名,はるな
比叡,ひえい
Bismarck,ビスマルク
響,ひびき
日振,ひぶり
日向,ひゅうが
Houston,ヒューストン
飛鷹,ひよう
平戸,ひらと
飛龍,ひりゅう
福江,ふかえ
藤波,ふじなみ
扶桑,ふそう
吹雪,ふぶき
文月,ふみづき
冬月,ふゆつき
Prinz Eugen,プリンツオイゲン
古鷹,ふるたか
Fletcher,フレッチャー
Helena,ヘレナ
鳳翔,ほうしょう
Hornet,ホーネット
Pola,ポーラ
Honolulu,ホノルル
舞風,まいかぜ
Maestrale,マエストラーレ
巻雲,まきぐも
巻波,まきなみ
松,まつ
松風,まつかぜ
Z3,マックスシュルツ
松輪,まつわ
間宮,まみや
摩耶,まや
まるゆ,まるゆ
三日月,みかづき
三隈,みくま
御蔵,みくら
瑞穂,みずほ
満潮,みちしお
水無月,みなづき
峯雲,みねぐも
深雪,みゆき
妙高,みょうこう
武蔵,むさし
陸奥,むつ
睦月,むつき
叢雲,むらくも
村雨,むらさめ
Maryland,メリーランド
最上,もがみ
桃,もも
望月,もちづき
屋代,やしろ
矢矧,やはぎ
山風,やまかぜ
山雲,やまぐも
山汐丸,やましおまる
山城,やましろ
大和,やまと
弥生,やよい
八幡丸,やわたまる
UIT-25,ゆーあいてぃーにじゅうご
夕雲,ゆうぐも
U-511,ゆーごーいちいち
夕立,ゆうだち
夕張,ゆうばり
雪風,ゆきかぜ
由良,ゆら
Richelieu,リシュリュー
Littorio,リットリオ
Libeccio,リベッチオ
龍驤,りゅうじょう
龍鳳,りゅうほう
L.d.S.D.d.Abruzzi,ルイージディサヴォイアドゥーカデッリアブルッツィ
Luigi Torelli,ルイージトレッリ
Z1,レーベレヒトマース
Roma,ローマ
呂500,ろごひゃく
若葉,わかば
Washington,ワシントン
潮,うしお
